Year,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
2015,190,79,"1,377",504,"2,160","6,477",294,686,"2,015","4,024",36,39,6
2016,217,113,"1,304",576,"3,081","8,189",565,872,"2,891","6,107",33,31,17
2017,281,106,"1,688",810,"3,483","9,484",719,893,"4,668","5,603",40,34,20
2018,420,121,"2,263",936,"4,004","10,636",887,"1,233","6,044","7,224",49,56,20
2019,623,160,"2,878","1,061","4,894","18,800","1,422","1,067","7,255","10,006",63,59,30
2020,760,204,"2,978","1,487","6,727","26,646","1,986","1,473","7,858","14,768",81,90,55
2021,739,225,"2,930","1,548","8,313","29,136","2,178","1,890","8,661","15,819",93,102,59
2022,912,255,"3,212","1,753","8,549","32,868","2,326","1,922","9,697","18,473",100,68,65
2023,"1,376",399,"3,606","2,531","10,430","34,579","2,634","2,640","12,457","27,343",92,74,35
2024,"1,295",445,"3,334","2,151","10,595","31,052","2,859","2,561","13,841","24,105",103,112,47